Outfit ID,Name,Category,Style,Color,Occasion,Gender,Budget,Season,Image URL,Components,Style Explanation
1,Oversized Black Tee and Cargoes,Streetwear,Streetwear,Black,Casual Hangout,Unisex,33.39,Winter,/assets/outfits/streetwear_black_1.jpg,"Oversized Black Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
2,Oversized Yellow Tee and Cargoes,Streetwear,Streetwear,Yellow,Casual Hangout,Unisex,55.43,Rainy,/assets/outfits/streetwear_yellow_2.jpg,"Oversized Yellow Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
3,Black T-Shirt and Denim Jeans,Casual Wear,Casual,Black,Casual Hangout,Men,53.67,Summer,/assets/outfits/casual_black_3.jpg,"Black T-Shirt, Blue Jeans, White Sneakers",A classic everyday relaxed look perfect for casual outings.
4,Streetwear White Windbreaker Outfit,Streetwear,Streetwear,White,Party,Women,68.57,Rainy,/assets/outfits/streetwear_white_4.jpg,"White Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
5,Comfy Yellow Hoodie and Joggers,Casual Wear,Casual,Yellow,Sport,Women,29.33,Rainy,/assets/outfits/casual_yellow_5.jpg,"Yellow Hoodie, Grey Joggers, Running Shoes",Comfort-first outfit designed for running errands or lounging.
6,Casual Blazer and White Tee,Smart Casual,Smart Casual,Black,Business Meeting,Women,163.22,Summer,/assets/outfits/smart casual_black_6.jpg,"Black Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
7,Royal Brown Sherwani Ensemble,Traditional Wear,Traditional,Brown,Party,Men,337.68,Rainy,/assets/outfits/traditional_brown_7.jpg,"Brown Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
8,Sleek Red Nightout Outfit,Party Wear,Party,Red,Party,Women,54.64,Rainy,/assets/outfits/party_red_8.jpg,"Red Leather Jacket, Black Fitted Tee, Ripped Black Jeans, Chelsea Boots",Edgy and eye-catching ensemble optimized for evening events and parties.
9,Oversized Black Tee and Cargoes,Streetwear,Streetwear,Black,Party,Unisex,79.11,Summer,/assets/outfits/streetwear_black_9.jpg,"Oversized Black Graphic Tee, Black Cargo Pants, Chunky Sneakers, Bucket Hat",Urban street style leaning heavily on baggy fits and utility details.
10,Tailored Green Suit Ensemble,Business Formal,Formal,Green,Business Meeting,Women,206.93,Summer,/assets/outfits/formal_green_10.jpg,"Green Blazer, Matching Green Trousers, White Dress Shirt, Black Oxford Shoes, Silk Tie","A sharp, corporate-ready suit combination to exude professionalism."
11,Casual Blazer and White Tee,Smart Casual,Smart Casual,Yellow,Party,Women,141.28,Rainy,/assets/outfits/smart casual_yellow_11.jpg,"Yellow Casual Blazer, White T-Shirt, Slim-fit Dark Jeans, Loafers",Effortlessly blending casual and formal elements for a modern silhouette.
12,Designer White Anarkali Suit,Traditional Wear,Traditional,White,Wedding,Unisex,207.19,Rainy,/assets/outfits/traditional_white_12.jpg,"White Anarkali Gown, Matching Dupatta, Traditional Jhumkas, Golden Sandals",Flowing traditional silhouette creating a grace-filled traditional appeal.
13,Glamorous Yellow Party Dress,Party Wear,Party,Yellow,Party,Unisex,145.31,Rainy,/assets/outfits/party_yellow_13.jpg,"Yellow Cocktail Dress, Strappy Heels, Clutch Bag, Statement Earrings",Sophisticated evening wear designed to stand out under the lights.
14,Comfy Brown Hoodie and Joggers,Casual Wear,Casual,Brown,Sport,Men,36.06,Rainy,/assets/outfits/casual_brown_14.jpg,"Brown Hoodie, Grey Joggers, Running Shoes",Comfort-first outfit designed for running errands or lounging.
15,Yellow Dress Shirt with Trousers,Business Casual,Formal,Yellow,Business Meeting,Women,113.52,Winter,/assets/outfits/formal_yellow_15.jpg,"Yellow Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
16,Streetwear White Windbreaker Outfit,Streetwear,Streetwear,White,Casual Hangout,Women,64.7,Summer,/assets/outfits/streetwear_white_16.jpg,"White Windbreaker Jacket, Track Pants, High-top Sneakers, Crossbody Bag",Athletic-inspired streetwear designed for active urban exploration.
17,Royal Yellow Sherwani Ensemble,Traditional Wear,Traditional,Yellow,Party,Unisex,276.7,Winter,/assets/outfits/traditional_yellow_17.jpg,"Yellow Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
18,Green Dress Shirt with Trousers,Business Casual,Formal,Green,Interview,Men,86.81,Winter,/assets/outfits/formal_green_18.jpg,"Green Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
19,Green Dress Shirt with Trousers,Business Casual,Formal,Green,Business Meeting,Unisex,111.98,Winter,/assets/outfits/formal_green_19.jpg,"Green Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
20,Vibrant Blue Velvet Blazer,Party Wear,Party,Blue,Party,Unisex,144.99,Summer,/assets/outfits/party_blue_20.jpg,"Blue Velvet Blazer, Black Dress Shirt, Black Dress Pants, Patent Leather Shoes",Luxurious party styling displaying rich textures and modern cuts.
21,Royal Brown Sherwani Ensemble,Traditional Wear,Traditional,Brown,Wedding,Unisex,252.73,Winter,/assets/outfits/traditional_brown_21.jpg,"Brown Silk Sherwani, Churidar Pants, Designer Stole, Traditional Juttis",An exquisite formal option for weddings and high ceremonies.
22,Chic Black Blazer and Chinos,Business Casual,Formal,Black,Business Meeting,Unisex,176.91,Rainy,/assets/outfits/formal_black_22.jpg,"Black Blazer, Beige Chinos, Light Blue Shirt, Brown Loafers",Smart business casual appearance combining structure with daily comfort.
23,Black Dress Shirt with Trousers,Business Casual,Formal,Black,Interview,Unisex,86.81,Summer,/assets/outfits/formal_black_23.jpg,"Black Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
24,Brown Dress Shirt with Trousers,Business Casual,Formal,Brown,Business Meeting,Unisex,123.75,Winter,/assets/outfits/formal_brown_24.jpg,"Brown Long-Sleeve Shirt, Dark Grey Dress Pants, Leather Belt, Derby Shoes",Clean and understated look suitable for modern office environments.
